Noms,Quartiers,Coordonnees,Indication,latitude,longitude
 BISOUNOURS CRECHE GARDERIE JARDIN D'ENFANTS,Cadjèhoun - 01 BP 2894, (+229) 95 12 49 08,"                            Patte d’oie, Rue face portail principal du Collège Aupiais, non loin de la clinique MAHUNACadjèhoun - 01 BP 2894Cotonou - Bénin
                        ",6.3676953,2.4252507
 ALLEGRA GARDEN,Fidjrossè, (+229) 61 80 75 16,"                            Von après la station Petroleum KivoskFidjrossèCotonou - Bénin
                        ",6.3676953,2.4252507
 AMERICAN ACADEMY,Cotonou - Bénin, (+229) 66 39 89 28,"                            Aibatin von de la station JNPCotonou - Bénin
                        ",6.3676953,2.4252507
 AMOUR D'ENFANT,Cotonou - Bénin, (+229) 67 29 19 ,"                            Rue atlantique, FidjrossèCotonou - Bénin
                        ",6.3676953,2.4252507
 ANIHOUVI LA MAISON DE LA PETITE ENFANCE,Cotonou - Bénin, (+229) 67 59 94 3,"                            Carré/ 424, Quartier GBÈNAN-CSPCotonou - Bénin
                        ",6.3676953,2.4252507
 AU PARADIS DES BOUTS DE CHOU,Akpakpa, (+229) 97 87 90 23,"                            Von en face de l'Immeuble 3 EtageAkpakpaCotonou - Bénin
                        ",6.3676953,2.4252507
 BABY LAND,Cotonou - Bénin, (+229) 66 40 10 ,"                            Von de la buvette Tabala à droite, SenadeCotonou - Bénin
                        ",6.3676953,2.4252507
 BABY'S HOUSE INTERNATIONAL SCHOOL,Cotonou - Bénin, (+229) 67 21 12 46,"                            Akpakpa KowégbeCotonou - Bénin
                        ",6.3676953,2.4252507
 BEE TENDER SERVICES,Cotonou - Bénin, (+229) 95 95 50 51,"                            CadjehounCotonou - Bénin
                        ",6.3676953,2.4252507
 BLACK STAR,Agla - 07 BP 555, (+229) 61 63 83 88,"                            AgongbomeyAgla - 07 BP 555Cotonou - Bénin
                        ",6.3676953,2.4252507
 CAMBRIDGE INTERNATIONAL SCHOOL,Abomey-Calavi - Bénin, (+229) 97 69 57 64,"                            Carrefour TanpkêAbomey-Calavi - Bénin
                        ",6.3676953,2.4252507
 CENTRE D'ACCUEIL MARIE MICHEL,01 BP 2712, (+229) 95 40 16 23,"                            Agbocodji01 BP 2712Abomey-Calavi - Bénin
                        ",6.3676953,2.4252507
 CENTRE D'ETUDE ET DE FORMATION LE BERCEAU DES MERVEILLES,02 BP 1029 Cotonou 02, (+229) 20 06 57 ,"                            Houinme Akossombe02 BP 1029 Cotonou 02Porto-Novo - Bénin
                        ",6.3676953,2.4252507
 CENTRE DE LA PETITE ENFANCE YAS,Zopah, (+229) 64 35 25 5,"                            Pavé d'Arconville, à côté de Jeco hôtelZopahAbomey-Calavi - Bénin
                        ",6.3676953,2.4252507
 COMPLEXE EDUCATIVE PRIVE LA 2NDE FAMILLE,Akpakpa - 06 BP 1245, (+229) 67 40 71 47,"                            SodjatinmèAkpakpa - 06 BP 1245Cotonou - Bénin
                        ",6.3676953,2.4252507
 COMPLEXE SCOLAIRE (LA GLOIRE DIVINE),Abomey-Calavi - Bénin, (+229) 90 03 75 93,"                            Fandji-sèmèAbomey-Calavi - Bénin
                        ",6.3676953,2.4252507
 COMPLEXE SCOLAIRE BILINGUE JEAN JAURES,Agassa Godomey, (+229) 97 33 26 0,"                            -Agassa GodomeyAbomey-Calavi - Bénin
                        ",6.3676953,2.4252507
 COMPLEXE SCOLAIRE BILINGUE LA PETITE ENFANCE,Zogbadjè, (+229) 96 74 51 ,"                            Derrière le Campus, à 100m du petit portail de l'UACZogbadjèAbomey-Calavi - Bénin
                        ",6.3676953,2.4252507
 COMPLEXE SCOLAIRE BILINGUE LA POUPONNIERE DES ANGES,Cotonou - Bénin, (+229) 95 41 37 1,"                            Quartier Agla AdjovigonCotonou - Bénin
                        ",6.3676953,2.4252507
 COMPLEXE SCOLAIRE BILINGUE LES GRACES,Fidjrossè, (+229) 96 49 49 80,"                            Non loin de fin pavéFidjrossèCotonou - Bénin
                        ",6.3676953,2.4252507
